"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"249","31/12/2019",31,12,2019,0,0,"Algeria","DZ","DZA",42228429
"250","19/04/2020",19,4,2020,8,0,"Andorra","AD","AND",77006
"251","18/04/2020",18,4,2020,14,2,"Andorra","AD","AND",77006
"252","17/04/2020",17,4,2020,9,0,"Andorra","AD","AND",77006
"253","16/04/2020",16,4,2020,14,2,"Andorra","AD","AND",77006
"254","15/04/2020",15,4,2020,13,2,"Andorra","AD","AND",77006
"255","14/04/2020",14,4,2020,8,0,"Andorra","AD","AND",77006
"256","13/04/2020",13,4,2020,16,1,"Andorra","AD","AND",77006
"257","12/04/2020",12,4,2020,21,2,"Andorra","AD","AND",77006
"258","11/04/2020",11,4,2020,18,1,"Andorra","AD","AND",77006
"259","10/04/2020",10,4,2020,19,2,"Andorra","AD","AND",77006
"260","09/04/2020",9,4,2020,19,1,"Andorra","AD","AND",77006
"261","08/04/2020",8,4,2020,19,1,"Andorra","AD","AND",77006
"262","07/04/2020",7,4,2020,25,3,"Andorra","AD","AND",77006
"263","06/04/2020",6,4,2020,35,1,"Andorra","AD","AND",77006
"264","05/04/2020",5,4,2020,27,1,"Andorra","AD","AND",77006
"265","04/04/2020",4,4,2020,11,1,"Andorra","AD","AND",77006
"266","03/04/2020",3,4,2020,38,1,"Andorra","AD","AND",77006
"267","02/04/2020",2,4,2020,14,2,"Andorra","AD","AND",77006
"268","01/04/2020",1,4,2020,6,4,"Andorra","AD","AND",77006
"269","31/03/2020",31,3,2020,36,2,"Andorra","AD","AND",77006
"270","30/03/2020",30,3,2020,26,2,"Andorra","AD","AND",77006
"271","29/03/2020",29,3,2020,41,1,"Andorra","AD","AND",77006
"272","28/03/2020",28,3,2020,43,0,"Andorra","AD","AND",77006
"273","27/03/2020",27,3,2020,36,3,"Andorra","AD","AND",77006
"274","26/03/2020",26,3,2020,24,0,"Andorra","AD","AND",77006
"275","25/03/2020",25,3,2020,31,0,"Andorra","AD","AND",77006
"276","24/03/2020",24,3,2020,20,0,"Andorra","AD","AND",77006
"277","23/03/2020",23,3,2020,25,0,"Andorra","AD","AND",77006
"278","22/03/2020",22,3,2020,13,0,"Andorra","AD","AND",77006
"279","21/03/2020",21,3,2020,0,0,"Andorra","AD","AND",77006
"280","20/03/2020",20,3,2020,22,0,"Andorra","AD","AND",77006
"281","19/03/2020",19,3,2020,39,0,"Andorra","AD","AND",77006
"282","18/03/2020",18,3,2020,0,0,"Andorra","AD","AND",77006
"283","17/03/2020",17,3,2020,9,0,"Andorra","AD","AND",77006
"284","16/03/2020",16,3,2020,3,0,"Andorra","AD","AND",77006
"285","14/03/2020",14,3,2020,1,0,"Andorra","AD","AND",77006
"286","03/03/2020",3,3,2020,1,0,"Andorra","AD","AND",77006
"287","19/04/2020",19,4,2020,5,0,"Angola","AO","AGO",30809762
"288","18/04/2020",18,4,2020,0,0,"Angola","AO","AGO",30809762
"289","17/04/2020",17,4,2020,0,0,"Angola","AO","AGO",30809762
"290","16/04/2020",16,4,2020,0,0,"Angola","AO","AGO",30809762
"291","15/04/2020",15,4,2020,0,0,"Angola","AO","AGO",30809762
"292","14/04/2020",14,4,2020,0,0,"Angola","AO","AGO",30809762
"293","13/04/2020",13,4,2020,0,0,"Angola","AO","AGO",30809762
"294","12/04/2020",12,4,2020,0,0,"Angola","AO","AGO",30809762
"295","11/04/2020",11,4,2020,0,0,"Angola","AO","AGO",30809762
"296","10/04/2020",10,4,2020,0,0,"Angola","AO","AGO",30809762
"297","09/04/2020",9,4,2020,2,0,"Angola","AO","AGO",30809762
"298","08/04/2020",8,4,2020,1,0,"Angola","AO","AGO",30809762
"299","07/04/2020",7,4,2020,2,0,"Angola","AO","AGO",30809762
"300","06/04/2020",6,4,2020,4,0,"Angola","AO","AGO",30809762
"301","05/04/2020",5,4,2020,2,0,"Angola","AO","AGO",30809762
